,News,Classification
346,The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral
347,Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006  and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .,positive
348,Currently  the plant operates on full capacity .,neutral
349,Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros  the biggest fall since June .,negative
350,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral
351,Alma Media expects its net sales to increase as forecast previously .,positive
352,Jun. 25  2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78  huh ?,neutral
353,9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010  driven by growth in Finland  while demand in the Baltics remained weak .,positive
354,The parties have agreed not to disclose the price of the deal  the group said in a press release .,neutral
355,Finnish shipping company Finnlines  of the Grimaldi Group  reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .,negative
356,Thanks to his wide contact network and good knowledge of market and business environment  he will give a great contribution to the further development of our Indian operations ''  tells Incap 's President & CEO Juhani Hanninen .,positive
357,Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life .,neutral
358,`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken  '' said Alandsbanken 's chief executive Peter Wiklof in a statement .,positive
359,ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .,neutral
360,Tieto offers Aktia a good foundation and the required support services for implementing the update project  ' says Juha Volotinen  responsible for Aktia 's web services .,positive
361,The effect may remain short-lived  however .,neutral
362,AHMS will also offer Hotel and Hotel Project Consultancy  Management Services  Brand Franchise  Training and Sales and Marketing services on a pan-India basis .,neutral
363,Operating profit was EUR 9.8 mn  compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .,positive
364,The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars  in the east of the country  where it already operates a hook manufacturing and distribution unit .,neutral
365,Operating profit totaled EUR 5.5 mn  up from EUR -0.7 mn .,positive
366,As a result  the company currently anticipates net sales to increase and the operating result to be positive .,positive
367,Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor  If P & C Insurance .,neutral
368,The parties have therefore agreed to leave Avena out of the deal .,neutral
369,Nokia Multimedia 's net sales totaled EUR 5.7 bn  up 45 % from the corresponding period in 2005 .,positive
370,LIGHTS OUT Before curfew  curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .,neutral
371,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,positive
372,Demand seems to have hit bottom now  and some signs of improvement can be seen .,positive
373,Separately  YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany  Austria  Poland  the Czech Republic  Hungary and Romania for EUR 55 mln .,positive
374,Production is scheduled to start by the end of April 2007 .,neutral
375,According to Finnish Scanfil 's founder and chairman of the board  Jorma J. Takanen  the company has to look for growth abroad .,neutral
376,The company 's consolidated operating profit amounted to EUR 15.86 mn  up from EUR 4.14 mn year-on-year .,positive
377,However  its market share shrank to 47.59 per cent from 48 per cent a year earlier .,negative
378,The first four of the new shop-in-shops will be opened this spring : on Madison Avenue in New York as well as in Chicago  Los Angeles and San Francisco .,neutral
379,Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral
380,The value of the deal has not been disclosed .,neutral
381,This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral
382,The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,neutral
383,Operating loss totaled EUR 0.8 mn  compared to a profit of EUR 0.5 mn .,negative
384,We succeeded in increasing our market share of sold apartment ''  comments Mr Kari Kauniskangas  Head of YIT International Construction Services .,positive
385,According to PKC  the acquisition would bring a significant addition to PKC 's customer base .,positive
386,Steek  which was set up in 2002  is based in Bordeaux  southwestern France .,neutral
387,The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .,neutral
388,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,neutral
389,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral
390,The evidentiary hearing in the Investigation is scheduled for April 21 - May 1  2008 .,neutral
391,Known as Post Bank  the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises  to provide financial services to the people .,positive
392,The MET is located in the Central Business District ( CBD ) of Bangkok .,neutral
393,Trading under the name Velta UK  a former Uponor brand  the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .,neutral
394,The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda  forming part of the line that follows the coast of the Gulf of Bothnia .,neutral
395,STORA ENSO  NORSKE SKOG  M-REAL  UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .,positive
396,The share subscription period will expire on 30 September 2007 .,neutral
397,`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive
398,Via the takeover  Panostaja further expands its business area specialising in digital printing  which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .,positive
399,The portfolio comprises of 118000 m2 of leasable space with a vacancy rate of roughly 5 %  let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .,neutral
400,"About 72 % of Evraz Group shares are owned by Lanebrook  whose beneficiaries  on the one hand  are Millhouse  the holding company for the assets of billionaire Roman Abramovich and his business partners 50 % , and Evraz executives Alexander Abramov and Alexander Frolov 50 %  on the other .",neutral
401,In 2007  almost two thirds of Orion 's net sales came from these drugs .,neutral
402,In January-September 2007  the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .,positive
403,EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,positive
404,The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file  with about 40 million returns filed in April .,neutral
405,The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .,neutral
406,Finnish software developer Basware Oyj said on November 30  2006 its U.S. subsidiary Basware  Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .,positive
407,Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,positive
408,Metsa-Botnia will finance the payment of dividends  the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations  and shares in Pohjolan Voima  and by utilising its existing financing facilities .,neutral
409,Bluewin Security is available as a monthly subscription .,neutral
410,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,neutral
411,Tikkurila Powder Coatings has some 50 employees at its four paint plants  which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .,neutral
412,Total value of the contract is about EUR 10mn .,neutral
413,Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31  2007 from 900000 euro $ 1.2 mln for the same period of fiscal 2005-06 .,negative
414,CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,neutral
415,Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy  both owned by Finnish food manufacturers  for the supply of animal fat for biodiesel production at Neste 's 200000 b-cd Porvoo  Finland  refinery .,positive
416,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive
417,Favourable currency rates also contributed to higher net sales  '' CEO Kari Kauniskangas said .,positive
418,Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier  the company said Thursday .,positive
419,Thanks to its extensive industry and operations experience  Cybercom offers strategic and technological expertise to these markets : telecom  industry  media  public sector  retail  and banking and financial services .,neutral
420,The inaugural speech will be given by Hannu Kyrolainen  Finland 's Ambassador to the Czech Republic .,neutral
421,Financing of the project will come mainly from China .,neutral
422,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive
423,Competition authorities will have to approve the deal before it can be finalized .,neutral
424,In a release on Oct. 28  Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad  both part of the Peab Group .,neutral
425,The value of the deal is estimated at between SEK25m and SEK50m .,neutral
426,Niina Nenonen  Marimekko 's current director for clothing  bags and accessories lines  will take up this role .,neutral
427,Terms of the acquisition were not disclosed .,neutral
428,With CapMan as a partner  we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers  '' says Christopher Wynne  CEO of Papa John 's Russia .,positive
429,Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract  valued at some EUR2m  to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .,positive
430,The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,neutral
431,The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral
432,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,negative
433,Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,neutral
434,Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral
435,Last year  UPM cut production  closed mills in Finland and slashed 700 jobs .,negative
436,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,negative
437,Financial terms were not disclosed .,neutral
438,The Group 's cash flow from operations will be positive .,positive
439,It is necessary to strengthen the company 's operations  however .,neutral
440,With sales of $ 12.7 billion over the last twelve months ending October  2010 and over 9200 stores in 35 states  Dollar General is the nation 's largest small box discount retailer .,neutral
441,industry in Asia +ó Pakistan  Malaysia  Taiwan and Philippines Today  Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .,neutral
442,The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland  Denmark  Germany  France ) .,neutral
443,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',neutral
444,GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais  UAE .,neutral
445,The Hayward  Calif.-based target designs active  casual and dress footwear  as well as boots and sandals .,neutral
446,Raute is listed on the Nordic exchange in Helsinki .,neutral
447,( ADP News ) - Feb 9  2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113000 ( USD 146000 ) for 2008 from EUR 1.2 million for 2007 .,positive
448,Last week  the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .,positive
449,The annual value of the contracts is estimated at USD 2mn over the next three years .,neutral
450,No planned closing date was provided .,neutral
451,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative
452,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,neutral
453,The total headcount reduction will be 50 persons  the company said .,negative
454,The brokerage said 2006 has seen a ` true turning point ' in European steel base prices  with better pricing seen carrying through the second quarter of 2006 .,positive
455,`` We will now  after the relevant authority approvals  make a mandatory bid as required by the Finnish Securities Markets Act .,neutral
456,Poyry is a global consulting and engineering firm focusing on the energy  forest industry and infrastructure & environment sectors .,neutral
457,Finnish management software solutions provider Ixonos Oyj net profit decreased to 369000 euro ( $ 575000 ) for the first quarter of 2008 from 669000 euro ( $ 1.0 mln ) for the same period of 2007 .,negative
458,However short-term rentals are becoming more popular .,neutral
459,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive
460,The subsidiary will be responsible for filter sales  local assembly of filters and after market services in China .,neutral
461,The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation  Fiskars Corporation  Fiskars Brands  Inc.  Husqvarna Outdoor Products Inc.  K+S Group  Ryobi Technologies  Inc.  The Scotts Miracle-Gro Company  and Van Group  Inc. .,neutral
462,The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification  the Company added .,neutral
463,Result before taxes decreased to nearly EUR 14.5 mn  compared to nearly EUR 20mn in the previous accounting period .,negative
464,SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive
465,To see a slide show of all the newest product releases from Fiskars .,neutral
466,Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,negative
467,The order consists of outsourced application management  support and planning for Tecnotree and third-party applications .,neutral
468,India 's trade with Russia currently stands at four billion dollars  growing 9.6 per cent in fiscal 2007 .,positive
469,Upon establishment  the plan is directed to approximately 20 persons .,neutral
470,Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,neutral
471,Prothious Engineering ( www.prothious.com ) employs more than 1000 and has a large portfolio of projects and an annual detailing capacity of more than 100000 tonnes .,neutral
472,The EU Commission said earlier it had fined ThyssenKrupp  United Technologies Corp 's Otis  Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .,negative
473,The earnings per share for the quarter came in at 0.25 eur  up from the 0.20 eur of the same quarter a year earlier .,positive
474,ALEXANDRIA  Va.  Dec. 19 -- United States Patent no. 7853620  issued on Dec. 14  was assigned to Nokia Corp. ( Espoo  Finland ) .,neutral
475,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,positive
476,Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .,neutral
477,Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,positive
478,In 2007  Alma Media 's operating profit was about EUR 53mn .,neutral
479,The podcast  sees Harple provide the low-down on GyPSii 's platform  which takes someone 's location and demographic information to produce a contextual index of the world around them .,neutral
480,The technology will become available to businesses from the fourth quarter  Nokia said .,neutral
481,Nonwovens and specialty papers  made by Ahlstrom  are used in a large variety of everyday products  e.g. in filters  wipes  flooring  labels  and tapes .,neutral
482,According to Kesko  the company agreed with the city administration about lease of the building in 2006  its resettlement and construction of a five-star hotel Hilton for 120 rooms .,positive
483,` Nordea 's definitely too big for Sampo to acquire  ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .,neutral
484,( ADP News ) - Feb 12  2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .,negative
485,Fiskars  the World 's  1 Scissors Brand TM  recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .,positive
486,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative
487,Nordea Pankki Suomi Oyj  according to previously announced  has made forward contracts on Alma Media Corporation shares .,neutral
488,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative
489,( ADPnews ) - Dec 30  2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days  starting in January 2010 .,neutral
490,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative
491,The company is in charge of all natural gas storage activities in France  Great Britain  and Germany .,neutral
492,s business sectors are building construction  infrastructure construction and technical building services .,neutral
493,Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,neutral
494,It expects revenue between $ 8.4 billion and $ 8.7 billion  compared to analyst estimates of $ 8.67 billion .,neutral
495,The agreement will provide The Switch with double the converter capacity  whilst opening up further manufacturing locations in China .,positive
496,They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral
497,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive
498,The guidance has been set at 90 basis points over mid-swaps  the report said .,neutral
499,Founded in 1923  Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft  employing 9500 people .,neutral
500,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral
501,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive
502,The first phase will be completed by the end of 2012 .,neutral
503,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive
504,Rental of building equipment accounted for 88 percent of the operating income .,neutral
505,Finnair 's Tallinn-based subsidiary  Aero AS  carried 23335 passengers  a decline of 60.8 %  on routes between Helsinki and the Baltic capitals and within Southern Finland .,negative
506,PA )  JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior  unsecured deal .,neutral
507,In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .,neutral
508,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .,neutral
509,Kesko has about 2000 stores engaged in chain operations in the Nordic and Baltic countries  Russia  and Belarus .,neutral
510,The value of the order is USD 2.3 mn .,neutral
511,Sponda Plc 's Annual General Meeting decided on 23 March 2005 to establish a Shareholders ' Nomination Committee to prepare proposals for the Annual General Meeting in 2006 on the composition of the Board of Directors and their remuneration .,neutral
512,Trading code : ELI1V Number of shares : 99483 Price-share : Gratuitous After the transfer  Elisa holds a total of 10435023 own shares .,neutral
513,Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,neutral
514,The Group 's turnover in 2006 was EUR 39.2 million  and operating profit was EUR 3.9 million .,neutral
515,When the OMX market forwards mature on May 16  2008  Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .,neutral
516,Also the development of online businesses will continue .,neutral
517,ADP News - Apr 22  2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189000 USD 245000 for the first quarter of 2009 from EUR 10000 for the same peri,negative
518,In Penttil+ñ 's vision  the most important reason for the transaction is Russia .,neutral
519,Section : Regional News - The demand in Finnair 's Asian traffic  measured in passenger kilometers  was up 34.9 % in August compare to last year .,positive
520,According to Soosalu  particular attention was paid to residents privacy and security in the design of the Aleksandri Street building .,neutral
521,Sales VAT inclusive expanded by 19 percent  to 351 million euros .,positive
522,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive
523,Raute reported a loss per share of EUR0 .86 for the first half of 2009  against EPS of EUR0 .74 in the corresponding period of 2008 .,negative
524,It operates under three distinct brands : United Supermarkets  Market Street and United Supermercado .,neutral
525,Technopolis has set aside a plot of land measuring 4.6 hectares to build the park  Mikkonen said .,neutral
526,The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties  which were completed and added to the company 's investment property portfolio .,neutral
527,The most popular mobile data services are email  surfing the internet  as well as news and weather services .,neutral
528,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative
529,There did not seem to be enough hours in a day for Pekkarinen .,neutral
530,Lean System supports change management and component purchasing extremely well .,positive
531,In Middle East & North Africa  Tecnotree has grown considerably in the recent years .,positive
532,The company has 120 employees and annual sales of approximately EUR16m .,neutral
533,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative
534,Thus the group 's balance sheet will have about EUR25 .8 m of goodwill  the company added .,neutral
535,The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp  Finnfund  Outokumpu Oyj  OKO Bank  Alteams Oy and Cargotec Corp. .,neutral
536,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral
537,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral
538,The reorganisation will be carried out by transferring HKScan Corporation 's production-related property  plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy  a holding company wholly owned by HKScan Corporation .,neutral
539,The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative
540,Quarterly diluted EPS on continuing operations came in at 0.21 eur  compared with last year 's 0.12 eur .,positive
541,An  of the invention  released by the Patent Office  said : `` A non-coherent search matrix is formed of said correlation function matrix .,neutral
542,Barclays Plc ( LSE : BARC ) ( NYSE : BCS )  Credit Agricole SA ( EPA : ACA ) ( CAGR .,neutral
543,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive
544,Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work  which is expected to start in early 2011 and to be completed in the summer of 2013 .,neutral
545,Based on negotiations with personnel  some 20 % have indicated their willingness to move to the new location .,neutral
546,A corresponding increase of 85432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .,neutral
547,Also the traditional grapevine carries a lot of weight .,neutral
548,However  the brokers ' ratings on the stock differ .,neutral
549,The contract will take effect in 2009 for a five or ten year period .,neutral
550,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral
551,The company said that the operations will be sold to a newly established company  CPS GmbH  where the present management of the plastics business is a co-owner .,neutral
552,The buyer is real estate owner Propertos Oy  but the companies have agreed not to disclose financial details of the deal .,neutral
553,Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah  Malaysia .,positive
554,However  two of the previously ordered sets will start producing electricity at the end of October 2010  it said .,neutral
555,Incap Contract Manufacturing Services Pvt Ltd  a subsidiary of Incap Corporation of Finland  is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur  near Bangalore  for Rs40 crore .,neutral
556,With the new arrangement  customer responsibilities will become mainly regional .,neutral
557,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .,neutral
558,Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp.  a ski-equipment company .,neutral
559,The chilled meat products category led the meat  fish and poultry market in Finland  accounting for a share of 31.4 % .,neutral
560,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive
561,At the end of March 2007  the group 's order book was at EUR 39.6 mn  up 42 % from the corresponding period in 2006 .,positive
562,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,neutral
563,The composite body is coated with a hard coating layer produced by thermal spraying  and the coating is ground . '',neutral
564,Acquisitions have been made and businesses have been well integrated .,positive
565,Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m  as compared to EUR4 .5 m in the first quarter 2008 .,negative
566,Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007  down from EUR 62.4 mn a year earlier .,negative
567,`` We have a license agreement with Nokia Corp. which in part expires on April 9  2007 .,neutral
568,`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,neutral
569,The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania  and concentrate the production and logistics in Parnu  Estonia in 2009 .,neutral
570,Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,positive
571,The parties have agreed not to disclose the transaction value .,neutral
572,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,neutral
573,Managing Director Timo Kohtam+ñki of Lemmink+ñinen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .,neutral
574,In its financial report  published on Friday  SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .,positive
575,The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral
576,The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur  and a stronger performance in North America .,positive
577,According to Scanfil  demand for telecommunications network products has fluctuated significantly in the third quarter of 2006  and the situation is expected to remain unstable for the rest of the year .,negative
578,says Brian Burton  Head of IT Security  Vodafone UK .,neutral
579,Also  a six-year historic analysis is provided for these markets .,neutral
580,Nordic Walking was first used as a summer training method by cross-country skiers .,neutral
581,`` After a long  unprofitable period the Food Division posted a profitable result  which speaks of a healthier cost structure and a new approach in business operations  '' Rihko said .,positive
582,Terms were not disclosed .,neutral
583,Profit for the period totalled EUR 0.8 mn  down from EUR 1.1 mn in the corresponding period in 2008 .,negative
584,The copying  republication or redistribution of AFX News Content  including by framing or similar means  is expressly prohibited without the prior written consent of AFX News .,neutral
585,Frost sold shares for $ 19 million at $ 6.06-7 .12 per share  compared with Friday 's high of $ 11.33 and low of $ 10.14 .,negative
586,The city will invite  however  a public procurement tender for the tailor-made public furniture  such as park benches  litter receptacles  public toilets  as well as bus shelters  street lights  and other .,neutral
587,The total investment necessary will be EUR40m  the company estimated .,neutral
588,It 's not .,neutral
589,Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,neutral
590,It will also strengthen Ruukki 's offshore business .,positive
591,Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,neutral
592,Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree  company president and CEO Eero Mertano told BNamericas .,neutral
593,Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008  the company said .,neutral
594,Operating profit excluding non-recurring items amounted to EUR 40.6 mn  down from EUR 57.3 mn year-on-year .,negative
595,The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364000 Componenta Corporation shares including also the proportion to be paid in cash .,neutral
596,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral
597,Under the plan  which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners  buildings with a total area of 10000 square meters should be built on the territory in the first phase .,neutral
598,More than 50000 tonnes of asphalt mix will be used in the contract .,neutral
599,The objective is that trading in the shares will commence on May 2  2007 .,neutral
600,After the transaction  Tikkurila has no powder coatings related operations .,neutral
601,Okmetic has a global customer base and sales network  production plants in Finland and the US and contract manufacturers in Japan and China .,neutral
602,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,positive
603,SDM offers general rental equipment  aluminium scaffolding  power generator and hoists to customers in the construction sector .,neutral
604,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,neutral
605,Both operating profit and net sales for the six-month period increased  respectively from EUR0 .4 m and EUR3 .2 m  as compared to the corresponding period in 2005 .,positive
606,The value of the firm 's forestry holdings increased by SEK 3.6 bn .,positive
